n_hours,changepoint_prior_scale,seasonality_prior_scale,rmse,rmse_rounded,time
1.0,0.001,0.1,0.8516431009498234,0.8792704011600552,3.632959413528442
1.0,0.001,1.0,0.8505013332843795,0.8789457674398669,3.64157452583313
1.0,0.001,10.0,0.8503912522214708,0.8786210137737139,3.520411157608032
1.0,0.05,0.1,0.8517177797172419,0.8760186503717182,6.30903959274292
1.0,0.05,1.0,0.8498830927142415,0.8747145653161696,4.261845397949219
1.0,0.05,10.0,0.8506738062779624,0.8740617931615822,4.76689715385437
1.0,0.1,0.1,0.8439118810778726,0.8625583164720334,7.682647943496704
1.0,0.1,1.0,0.8431589603074515,0.8613995196307526,9.269081640243531
1.0,0.1,10.0,0.8434334111371253,0.861233849945668,7.322327423095703
2.0,0.001,0.1,0.8421647966925055,0.8623928693972456,3.6111151695251467
2.0,0.001,1.0,0.8412125673293703,0.8627237318185482,3.8238932609558107
2.0,0.001,10.0,0.8426938158660138,0.8627237318185482,5.394987964630127
2.0,0.05,0.1,0.8459424683194005,0.8686577059150873,4.9862010955810545
2.0,0.05,1.0,0.8454477447304607,0.8680003787638843,6.025961923599243
2.0,0.05,10.0,0.845670597182445,0.8688219599972804,5.747820663452148
2.0,0.1,0.1,0.839568240207323,0.8587449693444669,9.43452501296997
2.0,0.1,1.0,0.8374794905260593,0.8552483684225873,11.669730710983277
2.0,0.1,10.0,0.8389872828771265,0.8577473949871873,8.702627897262573
4.0,0.001,0.1,0.8361678433699806,0.8575369864494166,4.8328049659729
4.0,0.001,1.0,0.8367977917081614,0.8606936769147409,4.232659435272216
4.0,0.001,10.0,0.8363823788624636,0.8577034176953212,4.665309572219849
4.0,0.05,0.1,0.8408834342565534,0.8718976649298881,6.762571573257446
4.0,0.05,1.0,0.8397183855367661,0.871078750815764,9.10031361579895
4.0,0.05,10.0,0.8412122712210752,0.8733697753458051,6.95419659614563
4.0,0.1,0.1,0.8363230083217278,0.8640040494296157,11.358069896697998
4.0,0.1,1.0,0.8359710983114604,0.8644995119855403,11.949901962280274
4.0,0.1,10.0,0.8346871754520178,0.8613567692141089,14.773357963562011
8.0,0.001,0.1,0.8345150846478779,0.8546576792582046,6.3952759265899655
8.0,0.001,1.0,0.8338647600429641,0.8533201859828614,6.253483057022095
8.0,0.001,10.0,0.8343151398945119,0.8536547557608543,9.146550512313842
8.0,0.05,0.1,0.8443533157832863,0.8756167769912169,14.795792770385741
8.0,0.05,1.0,0.8439430652087632,0.8751274688909831,15.184820652008057
8.0,0.05,10.0,0.8427971642352453,0.8748011114420466,14.234521579742431
8.0,0.1,0.1,0.8434697679654279,0.874148031013994,22.984448528289796
8.0,0.1,1.0,0.8431708028260916,0.8752906019838143,21.07549419403076
8.0,0.1,10.0,0.8421003418625224,0.8730039646703197,20.474025630950926
16.0,0.001,0.1,0.832006576514633,0.8556147202785078,10.768025636672974
16.0,0.001,1.0,0.8319625234904933,0.8559484884676329,10.599871110916137
16.0,0.001,10.0,0.8312953755666953,0.8534420453459937,10.945705032348632
16.0,0.05,0.1,0.8373018269645913,0.8662315168853375,29.343555879592895
16.0,0.05,1.0,0.8378109389988087,0.8677140859366503,33.10102152824402
16.0,0.05,10.0,0.8385871985382611,0.8687010596235885,53.175389242172244
16.0,0.1,0.1,0.8376693189133435,0.8685366418953017,53.86253252029419
16.0,0.1,1.0,0.8365318951811804,0.8698511135394336,48.843111228942874
16.0,0.1,10.0,0.8391646143097162,0.8718191049996156,54.32276616096497
24.0,0.001,0.1,0.8015846491200375,0.8174294536466459,18.989600801467894
24.0,0.001,1.0,0.8004047648717039,0.8188267699719123,16.936304378509522
24.0,0.001,10.0,0.8025997873221673,0.8223096728462991,19.08128218650818
24.0,0.05,0.1,0.8049239370727787,0.8366087862421064,34.92903051376343
24.0,0.05,1.0,0.8049785222537992,0.8367795750131503,37.04758229255676
24.0,0.05,10.0,0.8055035257558393,0.8366087862421064,29.871512174606323
24.0,0.1,0.1,0.8011953689181215,0.8321559750030956,35.370598220825194
24.0,0.1,1.0,0.8025965055931203,0.8345565947957748,42.75510697364807
24.0,0.1,10.0,0.8026347882968666,0.8352412188607012,43.29171524047852
