n_hours,min_admissible_value,changepoint_method,rmse,rmse_rounded,time
1,0,auto,0.8145973532916464,0.8385680336335051,3.8866937160491943
1.0,0.0,,0.8145973532916464,0.8385680336335051,3.511426305770874
1,,auto,0.8603658359086372,0.8948737825850028,4.370959520339966
1.0,,,0.8603658359086372,0.8948737825850028,2.537985849380493
2,0,auto,0.8135147774707123,0.836182344493119,5.124507427215576
2.0,0.0,,0.8135147774707123,0.836182344493119,3.0888587474822997
2,,auto,0.8504648714513069,0.8765071820485263,4.425496244430542
2.0,,,0.8504648714513069,0.8765071820485263,3.418800115585327
4,0,auto,0.8126539661618795,0.8397082265853019,5.061649417877197
4.0,0.0,,0.8126539661618795,0.8397082265853019,2.659414052963257
4,,auto,0.8432493817687051,0.8661490069255496,4.2858567237854
4.0,,,0.8432493817687051,0.8661490069255496,2.6091189861297606
8,0,auto,0.8079709581642266,0.8374446460052074,5.304861354827881
8.0,0.0,,0.8079709581642266,0.8374446460052074,3.2074253082275392
8,,auto,0.8358979059888118,0.8589901499260064,4.747791767120361
8.0,,,0.8358979059888118,0.8589901499260064,3.201532506942749
16,0,auto,0.8036572489605944,0.8390974599366917,6.159607839584351
16.0,0.0,,0.8036572489605944,0.8390974599366917,4.602399063110352
16,,auto,0.8344907595112632,0.860773583775079,6.102413034439087
16.0,,,0.8344907595112632,0.860773583775079,4.668966007232666
24,0,auto,0.7866737019484654,0.814627630652123,7.518810510635376
24.0,0.0,,0.7866737019484654,0.814627630652123,6.637585973739624
24,,auto,0.8047379151328414,0.8203959060709126,7.416841602325439
24.0,,,0.8047379151328414,0.8203959060709126,5.987921810150146
